artist_id,artist_name,tier,artist_popularity,artist_followers,listener_id,repeat_play_rate,playlist_save_rate,share_rate,discography_breadth,follow_tenure_months,concert_page_views,superfan_score,reserved_threshold,reserved_eligible
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,A-List Stadium,97,99648910,1Xyo4u8uXC1ZmMpatF05PJ_0044,0.5164,0.2696,0.0695,0.3548,120.0,2,39.1,35.413999999999994,True
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,A-List Stadium,97,99648910,1Xyo4u8uXC1ZmMpatF05PJ_0076,0.3231,0.4326,0.1688,0.5602,57.3,2,36.71,35.413999999999994,True
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,A-List Stadium,97,99648910,1Xyo4u8uXC1ZmMpatF05PJ_0087,0.4067,0.3956,0.2627,0.4899,28.8,1,36.03,35.413999999999994,True
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,A-List Stadium,97,99648910,1Xyo4u8uXC1ZmMpatF05PJ_0115,0.1628,0.6293,0.0719,0.5935,111.2,2,40.37,35.413999999999994,True
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,A-List Stadium,97,99648910,1Xyo4u8uXC1ZmMpatF05PJ_0130,0.1328,0.689,0.0643,0.549,81.5,0,37.2,35.413999999999994,True
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,A-List Stadium,97,99648910,1Xyo4u8uXC1ZmMpatF05PJ_0132,0.3267,0.6214,0.035,0.5689,10.5,4,36.27,35.413999999999994,True
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,A-List Stadium,97,99648910,1Xyo4u8uXC1ZmMpatF05PJ_0182,0.2262,0.5988,0.0765,0.4214,94.0,3,37.81,35.413999999999994,True
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,A-List Stadium,97,99648910,1Xyo4u8uXC1ZmMpatF05PJ_0185,0.2926,0.4494,0.0471,0.5834,66.5,2,35.51,35.413999999999994,True
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,A-List Stadium,97,99648910,1Xyo4u8uXC1ZmMpatF05PJ_0190,0.5312,0.4552,0.0331,0.4329,20.1,2,36.48,35.413999999999994,True
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,A-List Stadium,97,99648910,1Xyo4u8uXC1ZmMpatF05PJ_0202,0.2992,0.5141,0.0705,0.7109,23.2,1,35.73,35.413999999999994,True
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,A-List Stadium,97,99648910,1Xyo4u8uXC1ZmMpatF05PJ_0211,0.1794,0.4824,0.1664,0.3848,111.4,2,35.49,35.413999999999994,True
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,A-List Stadium,97,99648910,1Xyo4u8uXC1ZmMpatF05PJ_0226,0.4013,0.527,0.0017,0.4757,99.1,1,40.88,35.413999999999994,True
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,A-List Stadium,97,99648910,1Xyo4u8uXC1ZmMpatF05PJ_0229,0.4666,0.6503,0.0072,0.2651,22.4,2,36.71,35.413999999999994,True
